"ID";"Marges";"RegioS";"Perioden";"VoeltZichWelEensOnveilig_1";"VoeltZichVaakOnveilig_2";"VanZakkenrollerij_3";"VanBerovingOpStraat_4";"VanInbraakInWoning_5";"VanMishandeling_6";"VoeltZichWelEensOnveiligInBuurt_7";"VoeltZichVaakOnveiligInBuurt_8";"SAvondsOpStraatInBuurtOnveilig_9";"SAvondsAlleenThuisOnveilig_10";"DoetSAvondsNietOpen_11";"RijdtOfLooptOm_12";"BangSlachtofferCriminaliteitTeWorden_13";"DenktDatErVeelCriminaliteitInBuurt_14";"VindtCriminaliteitInBuurtToegenomen_15";"VindtCriminaliteitInBuurtAfgenomen_16";"VindtCriminaliteitInBuurtGelijk_17";"RapportcijferVeiligheidInBuurt_18";"RondomUitgaansgelegenheden_19";"OpPlekkenWaarJongerenRondhangen_20";"InCentrumVanWoonplaats_21";"InWinkelgebiedWinkelcentrum_22";"InOpenbaarVervoer_23";"BijTreinstationInWoonplaats_24";"InEigenHuis_25";"DoorOnbekendenOpStraat_26";"DoorOnbekendenInOpenbaarVervoer_27";"DoorPersoneelVanWinkelsEnBedrijven_28";"DoorPersoneelVanOverheidsinstanties_29";"DoorBekendenPartnerFamilieVriend_30"
"1790";"2 ";"PV20   ";"2014JJ00";"     2.0";"     0.5";"     0.6";"     0.5";"     1.1";"     0.6";"     1.6";"     0.6";"     0.7";"     0.6";"     1.0";"     0.7";"     0.7";"     1.2";"     1.3";"     0.9";"     2.2";"     0.1";"     1.9";"     2.1";"     1.6";"     1.4";"     1.3";"     1.5";"     1.1";"     1.8";"     1.4";"     1.6";"     1.5";"     1.2"
"1791";"2 ";"PV20   ";"2015JJ00";"     2.0";"     0.5";"     0.7";"     0.6";"     1.2";"     0.6";"     1.7";"     0.6";"     0.7";"     0.7";"     1.1";"     0.7";"     0.7";"     1.3";"     1.3";"     1.0";"     2.2";"     0.1";"     1.9";"     2.1";"     1.6";"     1.4";"     1.4";"     1.5";"     1.2";"     1.8";"     1.5";"     1.5";"     1.4";"     1.3"
"1792";"2 ";"PV20   ";"2016JJ00";"     2.1";"     0.5";"     0.5";"     0.5";"     1.1";"     0.6";"     1.6";"     0.4";"     0.7";"     0.6";"     1.1";"     0.6";"     0.6";"     1.2";"     1.3";"     0.8";"     2.2";"     0.1";"     1.9";"     2.1";"     1.5";"     1.4";"     1.4";"     1.5";"     1.1";"     1.8";"     1.3";"     1.5";"     1.4";"     1.1"
"1793";"2 ";"PV20   ";"2017JJ00";"     2.1";"     0.5";"     0.7";"     0.4";"     1.1";"     0.6";"     1.6";"     0.6";"     0.6";"     0.5";"     1.0";"     0.6";"     0.7";"     1.2";"     1.3";"     0.8";"     2.2";"     0.1";"     1.8";"     2.1";"     1.4";"     1.2";"     1.4";"     1.4";"     1.1";"     1.7";"     1.4";"     1.4";"     1.3";"     1.2"
"1794";"2 ";"PV21   ";"2012JJ00";"     1.9";"     0.6";"     0.8";"     0.6";"     1.1";"     0.5";"     1.5";"     0.5";"     0.7";"     0.7";"     0.9";"     0.6";"     0.8";"     1.0";"     1.2";"     0.8";"     2.2";"     0.1";"     1.8";"     2.1";"     1.7";"     1.4";"     1.4";"     1.5";"     1.2";"     1.7";"     1.4";"     1.5";"     1.4";"     1.2"
"1795";"2 ";"PV21   ";"2013JJ00";"     1.9";"     0.5";"     0.7";"     0.5";"     1.2";"     0.7";"     1.5";"     0.5";"     0.6";"     0.5";"     0.9";"     0.6";"     0.6";"     1.0";"     1.3";"     0.8";"     2.1";"     0.1";"     1.8";"     2.0";"     1.4";"     1.4";"     1.4";"     1.4";"     1.1";"     1.6";"     1.3";"     1.4";"     1.4";"     1.1"
"1796";"2 ";"PV21   ";"2014JJ00";"     2.0";"     0.5";"     0.6";"     0.5";"     1.1";"     0.6";"     1.5";"     0.4";"     0.6";"     0.5";"     0.9";"     0.6";"     0.7";"     1.1";"     1.4";"     0.9";"     2.1";"     0.1";"     1.8";"     2.0";"     1.5";"     1.3";"     1.2";"     1.2";"     1.0";"     1.6";"     1.2";"     1.5";"     1.5";"     1.1"
"1797";"2 ";"PV21   ";"2015JJ00";"     2.0";"     0.4";"     0.5";"     0.5";"     1.1";"     0.6";"     1.5";"     0.4";"     0.6";"     0.5";"     0.9";"     0.5";"     0.7";"     1.0";"     1.3";"     0.7";"     2.2";"     0.1";"     1.8";"     2.0";"     1.4";"     1.2";"     1.3";"     1.3";"     1.1";"     1.6";"     1.1";"     1.3";"     1.3";"     1.2"
"1798";"2 ";"PV21   ";"2016JJ00";"     2.0";"     0.4";"     0.6";"     0.5";"     1.0";"     0.6";"     1.5";"     0.5";"     0.6";"     0.6";"     0.9";"     0.4";"     0.6";"     1.0";"     1.3";"     0.8";"     2.3";"     0.1";"     1.8";"     2.1";"     1.5";"     1.3";"     1.4";"     1.4";"     1.1";"     1.6";"     1.3";"     1.4";"     1.3";"     1.2"
"1799";"2 ";"PV21   ";"2017JJ00";"     2.0";"     0.4";"     0.4";"     0.3";"     1.0";"     0.7";"     1.4";"     0.5";"     0.6";"     0.5";"     0.9";"     0.5";"     0.5";"     0.8";"     1.1";"     0.7";"     2.2";"     0.1";"     1.7";"     2.0";"     1.4";"     1.2";"     1.2";"     1.2";"     1.0";"     1.6";"     1.2";"     1.3";"     1.3";"     1.2"
"1800";"2 ";"PV22   ";"2012JJ00";"     1.8";"     0.3";"     0.6";"     0.3";"     0.9";"     0.4";"     1.3";"     0.4";"     0.6";"     0.4";"     0.7";"     0.5";"     0.5";"     0.9";"     1.2";"     0.8";"     2.0";"     0.0";"     1.6";"     1.9";"     1.3";"     1.3";"     1.2";"     1.3";"     1.0";"     1.5";"     1.2";"     1.3";"     1.3";"     1.0"
"1801";"2 ";"PV22   ";"2013JJ00";"     1.2";"     0.3";"     0.4";"     0.3";"     0.7";"     0.3";"     0.9";"     0.3";"     0.4";"     0.4";"     0.5";"     0.3";"     0.4";"     0.7";"     0.9";"     0.4";"     1.3";"     0.0";"     1.1";"     1.2";"     0.9";"     0.8";"     0.8";"     0.8";"     0.7";"     1.0";"     0.7";"     0.8";"     0.8";"     0.7"
"1802";"2 ";"PV22   ";"2014JJ00";"     2.3";"     0.4";"     0.7";"     0.5";"     1.3";"     0.6";"     1.8";"     0.4";"     0.7";"     0.7";"     1.1";"     0.5";"     0.8";"     1.2";"     1.7";"     0.9";"     2.5";"     0.1";"     2.0";"     2.4";"     1.7";"     1.7";"     1.4";"     1.6";"     1.4";"     1.8";"     1.4";"     1.6";"     1.6";"     1.3"
"1803";"2 ";"PV22   ";"2015JJ00";"     2.2";"     0.4";"     0.8";"     0.6";"     1.3";"     0.6";"     1.7";"     0.5";"     0.6";"     0.6";"     1.1";"     0.6";"     0.6";"     1.2";"     1.7";"     0.8";"     2.5";"     0.1";"     2.0";"     2.4";"     1.7";"     1.6";"     1.6";"     1.7";"     1.3";"     1.9";"     1.4";"     1.6";"     1.7";"     1.3"
"1804";"2 ";"PV22   ";"2016JJ00";"     2.4";"     0.5";"     0.6";"     0.4";"     1.3";"     0.6";"     1.8";"     0.4";"     0.8";"     0.6";"     1.2";"     0.6";"     0.7";"     1.2";"     1.7";"     0.9";"     2.6";"     0.1";"     1.9";"     2.4";"     1.6";"     1.6";"     1.6";"     1.7";"     1.3";"     2.0";"     1.3";"     1.6";"     1.5";"     1.3"
"1805";"2 ";"PV22   ";"2017JJ00";"     1.2";"     0.3";"     0.4";"     0.4";"     0.7";"     0.3";"     0.9";"     0.2";"     0.4";"     0.3";"     0.6";"     0.4";"     0.4";"     0.6";"     0.9";"     0.4";"     1.3";"     0.0";"     1.1";"     1.2";"     0.9";"     0.9";"     0.8";"     0.9";"     0.7";"     1.0";"     0.8";"     0.9";"     0.8";"     0.6"
"1806";"2 ";"PV23   ";"2012JJ00";"     1.4";"     0.3";"     0.5";"     0.4";"     0.8";"     0.4";"     1.1";"     0.3";"     0.4";"     0.4";"     0.6";"     0.4";"     0.4";"     0.7";"     1.0";"     0.5";"     1.5";"     0.0";"     1.3";"     1.4";"     1.1";"     0.9";"     1.0";"     1.1";"     0.8";"     1.2";"     1.0";"     1.0";"     1.0";"     0.7"
"1807";"2 ";"PV23   ";"2013JJ00";"     1.5";"     0.4";"     0.6";"     0.4";"     1.0";"     0.4";"     1.2";"     0.4";"     0.5";"     0.4";"     0.7";"     0.4";"     0.5";"     0.9";"     1.2";"     0.5";"     1.6";"     0.0";"     1.3";"     1.5";"     1.1";"     1.0";"     1.1";"     1.1";"     0.9";"     1.2";"     1.0";"     1.1";"     1.0";"     0.8"
"1808";"2 ";"PV23   ";"2014JJ00";"     1.6";"     0.4";"     0.4";"     0.4";"     0.9";"     0.4";"     1.2";"     0.4";"     0.5";"     0.5";"     0.8";"     0.5";"     0.5";"     0.9";"     1.1";"     0.6";"     1.7";"     0.0";"     1.4";"     1.6";"     1.2";"     1.0";"     1.1";"     1.2";"     0.9";"     1.3";"     1.1";"     1.1";"     1.0";"     0.8"
"1809";"2 ";"PV23   ";"2015JJ00";"     1.5";"     0.4";"     0.5";"     0.4";"     0.9";"     0.5";"     1.2";"     0.4";"     0.5";"     0.4";"     0.8";"     0.4";"     0.5";"     0.8";"     1.1";"     0.6";"     1.6";"     0.0";"     1.3";"     1.5";"     1.2";"     1.0";"     1.0";"     1.2";"     0.9";"     1.3";"     1.0";"     1.1";"     1.0";"     0.8"
"1810";"2 ";"PV23   ";"2016JJ00";"     1.6";"     0.4";"     0.5";"     0.4";"     0.9";"     0.4";"     1.2";"     0.4";"     0.5";"     0.5";"     0.8";"     0.4";"     0.5";"     0.8";"     1.1";"     0.7";"     1.7";"     0.0";"     1.4";"     1.6";"     1.2";"     1.0";"     1.2";"     1.2";"     0.9";"     1.3";"     1.0";"     1.1";"     1.0";"     0.8"
"1811";"2 ";"PV23   ";"2017JJ00";"     1.5";"     0.4";"     0.4";"     0.3";"     0.8";"     0.4";"     1.1";"     0.3";"     0.5";"     0.4";"     0.7";"     0.4";"     0.4";"     0.8";"     0.9";"     0.7";"     1.6";"     0.0";"     1.3";"     1.5";"     1.1";"     0.9";"     1.0";"     1.1";"     0.8";"     1.2";"     1.0";"     1.0";"     0.9";"     0.8"
"1812";"2 ";"PV24   ";"2012JJ00";"     2.3";"     0.7";"     1.0";"     0.9";"     1.6";"     0.8";"     1.9";"     0.7";"     1.1";"     0.8";"     1.4";"     0.9";"     1.0";"     1.6";"     1.8";"     1.0";"     2.3";"     0.1";"     2.2";"     2.3";"     2.0";"     1.9";"     2.0";"     2.2";"     1.3";"     2.1";"     1.9";"     1.9";"     1.7";"     1.3"
"1813";"2 ";"PV24   ";"2013JJ00";"     2.0";"     0.6";"     1.0";"     0.6";"     1.5";"     0.5";"     1.6";"     0.6";"     0.8";"     0.8";"     1.1";"     0.6";"     0.8";"     1.3";"     1.6";"     0.8";"     2.1";"     0.1";"     1.8";"     2.1";"     1.8";"     1.7";"     1.7";"     1.7";"     1.4";"     1.7";"     1.4";"     1.6";"     1.3";"     1.1"
"1814";"2 ";"PV24   ";"2014JJ00";"     2.4";"     0.8";"     1.0";"     1.1";"     1.9";"     0.9";"     2.1";"     0.9";"     1.1";"     0.9";"     1.5";"     0.9";"     1.0";"     1.9";"     2.0";"     1.2";"     2.5";"     0.1";"     2.3";"     2.5";"     2.1";"     2.0";"     2.2";"     2.3";"     1.5";"     2.2";"     2.1";"     1.9";"     1.7";"     1.4"
"1815";"2 ";"PV24   ";"2015JJ00";"     2.9";"     0.6";"     1.0";"     0.9";"     2.0";"     1.1";"     2.4";"     0.6";"     1.4";"     0.8";"     1.8";"     1.0";"     1.1";"     1.9";"     2.0";"     1.3";"     2.9";"     0.1";"     2.5";"     2.9";"     2.4";"     2.2";"     2.4";"     2.6";"     1.7";"     2.5";"     2.3";"     2.4";"     2.2";"     1.8"
"1816";"2 ";"PV24   ";"2016JJ00";"     2.5";"     0.6";"     0.8";"     0.8";"     1.7";"     0.8";"     1.9";"     0.6";"     0.9";"     0.8";"     1.4";"     1.0";"     0.9";"     1.6";"     1.8";"     1.3";"     2.6";"     0.1";"     2.2";"     2.6";"     2.1";"     1.9";"     2.2";"     2.2";"     1.5";"     2.2";"     1.9";"     1.9";"     1.7";"     1.4"
"1817";"2 ";"PV24   ";"2017JJ00";"     1.9";"     0.7";"     0.6";"     0.6";"     1.3";"     0.7";"     1.5";"     0.6";"     0.8";"     0.8";"     1.1";"     0.8";"     0.9";"     1.2";"     1.4";"     0.9";"     2.0";"     0.1";"     1.7";"     2.0";"     1.6";"     1.5";"     1.5";"     1.6";"     1.2";"     1.7";"     1.4";"     1.4";"     1.2";"     1.1"
"1818";"2 ";"PV25   ";"2012JJ00";"     1.2";"     0.3";"     0.4";"     0.4";"     0.7";"     0.3";"     0.9";"     0.3";"     0.4";"     0.4";"     0.6";"     0.4";"     0.4";"     0.6";"     0.8";"     0.4";"     1.2";"     0.0";"     1.0";"     1.2";"     0.9";"     0.8";"     0.9";"     0.9";"     0.7";"     1.0";"     0.8";"     0.9";"     0.8";"     0.6"
