"ID";"Marges";"RegioS";"Perioden";"SAvondsLichtBrandenBijAfwezigheid_1";"FietsInBewaakteFietsenstalling_2";"WaardevolleSpullenMeenemenUitAuto_3";"WaardevolleSpullenThuisLaten_4";"SociaalPreventiefGedragSchaalscore_5";"ExtraVeiligheidsslotenOpBuitendeuren_6";"RolluikenVoorRamenEnOfDeuren_7";"Buitenverlichting_8";"Alarminstallatie_9";"PreventieInRondWoningSomscore_10"
"91";"1 ";"PV30   ";"2013JJ00";"46.7";"45.2";"74";"39";"2";"69";"28.2";"82.3";"14.8";"1.9"
"92";"1 ";"PV30   ";"2014JJ00";"48";"45.2";"73";"37";"2";"67.6";"28.8";"82.2";"14.5";"1.9"
"93";"1 ";"PV30   ";"2015JJ00";"48.3";"45.8";"73.8";"37.8";"2.1";"68.8";"28.9";"81.5";"15.1";"1.9"
"94";"1 ";"PV30   ";"2016JJ00";"47.2";"46.1";"72.5";"35.1";"2";"66.9";"28.7";"82.1";"14.5";"1.9"
"95";"1 ";"PV30   ";"2017JJ00";"46.9";"45.9";"73.1";"34.1";"2";"66.6";"28.3";"81.1";"15.2";"1.9"
"96";"1 ";"PV31   ";"2012JJ00";"51.4";"41.8";"73.2";"41.5";"2.1";"68.6";"49.5";"81.4";"15.8";"2.2"
"97";"1 ";"PV31   ";"2013JJ00";"50.3";"42.9";"73.1";"41.3";"2.1";"68.1";"48.5";"80.4";"15.7";"2.1"
"98";"1 ";"PV31   ";"2014JJ00";"51.5";"40.8";"74.2";"40.8";"2.1";"68.4";"49";"81";"16.8";"2.2"
"99";"1 ";"PV31   ";"2015JJ00";"52.8";"41.6";"72.2";"39.7";"2.1";"68.6";"49.5";"81.3";"17.2";"2.2"
"100";"1 ";"PV31   ";"2016JJ00";"51.9";"42.5";"71.6";"37.4";"2";"68.7";"49.9";"81.5";"16.1";"2.2"
"101";"1 ";"PV31   ";"2017JJ00";"51.3";"41.2";"71.2";"38.1";"2";"66.6";"48.6";"80.1";"17.6";"2.1"
"1788";"2 ";"PV20   ";"2012JJ00";"1.9";"1.8";"2";"1.8";"0";"2";"1.2";"1.8";"1.1";"0"
"1789";"2 ";"PV20   ";"2013JJ00";"1.8";"1.8";"2";"1.8";"0";"2";"1.1";"1.9";"1.2";"0"
"1790";"2 ";"PV20   ";"2014JJ00";"2";"1.9";"2.1";"1.9";"0.1";"2.1";"1.2";"1.9";"1.2";"0"
"1791";"2 ";"PV20   ";"2015JJ00";"2";"1.9";"2.1";"1.9";"0.1";"2.1";"1.3";"1.9";"1";"0"
"1792";"2 ";"PV20   ";"2016JJ00";"2";"2";"2.2";"1.9";"0.1";"2.2";"1.4";"2";"1.2";"0"
"1793";"2 ";"PV20   ";"2017JJ00";"2";"2";"2.2";"1.9";"0.1";"2.2";"1.3";"2";"1.2";"0"
"1794";"2 ";"PV21   ";"2012JJ00";"2.1";"1.9";"2.1";"1.9";"0.1";"2.1";"1.2";"1.8";"1.2";"0"
"1795";"2 ";"PV21   ";"2013JJ00";"2";"1.8";"2.1";"1.9";"0.1";"2.1";"1.1";"1.7";"1.3";"0"
"1796";"2 ";"PV21   ";"2014JJ00";"2.1";"1.8";"2.1";"1.9";"0.1";"2.1";"1.2";"1.7";"1.3";"0"
"1797";"2 ";"PV21   ";"2015JJ00";"2.1";"1.9";"2.1";"1.9";"0.1";"2.1";"1.2";"1.8";"1.2";"0"
"1798";"2 ";"PV21   ";"2016JJ00";"2.2";"2";"2.2";"2";"0.1";"2.2";"1.2";"1.8";"1.2";"0"
"1799";"2 ";"PV21   ";"2017JJ00";"2.1";"1.9";"2.1";"1.9";"0.1";"2.1";"1.1";"1.8";"1.3";"0"
"1800";"2 ";"PV22   ";"2012JJ00";"1.9";"1.7";"1.9";"1.8";"0";"1.9";"1.3";"1.4";"1.2";"0"
"1801";"2 ";"PV22   ";"2013JJ00";"1.2";"1.1";"1.2";"1.2";"0";"1.2";"0.8";"0.9";"0.8";"0"
"1802";"2 ";"PV22   ";"2014JJ00";"2.5";"2.2";"2.4";"2.3";"0.1";"2.4";"1.8";"1.8";"1.6";"0"
"1803";"2 ";"PV22   ";"2015JJ00";"2.5";"2.3";"2.4";"2.3";"0.1";"2.5";"1.8";"1.8";"1.6";"0"
"1804";"2 ";"PV22   ";"2016JJ00";"2.5";"2.3";"2.5";"2.3";"0.1";"2.5";"1.7";"1.8";"1.6";"0"
"1805";"2 ";"PV22   ";"2017JJ00";"1.3";"1.2";"1.3";"1.2";"0";"1.3";"0.9";"1";"0.8";"0"
"1806";"2 ";"PV23   ";"2012JJ00";"1.4";"1.4";"1.4";"1.3";"0";"1.4";"1.2";"1.2";"0.9";"0"
"1807";"2 ";"PV23   ";"2013JJ00";"1.5";"1.5";"1.5";"1.5";"0";"1.5";"1.3";"1.3";"0.9";"0"
"1808";"2 ";"PV23   ";"2014JJ00";"1.6";"1.5";"1.6";"1.5";"0";"1.6";"1.3";"1.3";"1";"0"
"1809";"2 ";"PV23   ";"2015JJ00";"1.5";"1.5";"1.5";"1.4";"0";"1.5";"1.2";"1.3";"0.9";"0"
"1810";"2 ";"PV23   ";"2016JJ00";"1.7";"1.6";"1.6";"1.5";"0";"1.7";"1.4";"1.4";"1.1";"0"
"1811";"2 ";"PV23   ";"2017JJ00";"1.5";"1.5";"1.5";"1.4";"0";"1.5";"1.2";"1.3";"0.9";"0"
"1812";"2 ";"PV24   ";"2012JJ00";"2.3";"2.1";"2.2";"2.1";"0.1";"2.3";"1.6";"1.8";"1.9";"0"
"1813";"2 ";"PV24   ";"2013JJ00";"2.1";"1.9";"1.9";"1.9";"0.1";"2";"1.4";"1.6";"1.3";"0"
"1814";"2 ";"PV24   ";"2014JJ00";"2.4";"2.3";"2.3";"2.3";"0.1";"2.4";"1.6";"2";"1.8";"0"
"1815";"2 ";"PV24   ";"2015JJ00";"2.9";"2.7";"2.7";"2.7";"0.1";"2.9";"2";"2.4";"2";"0.1"
"1816";"2 ";"PV24   ";"2016JJ00";"2.5";"2.4";"2.5";"2.3";"0.1";"2.5";"1.9";"2";"2";"0.1"
"1817";"2 ";"PV24   ";"2017JJ00";"2";"1.7";"1.9";"1.8";"0";"2";"1.5";"1.7";"1.4";"0"
"1818";"2 ";"PV25   ";"2012JJ00";"1.2";"1.1";"1.1";"1.1";"0";"1.1";"1";"0.9";"0.8";"0"
"1819";"2 ";"PV25   ";"2013JJ00";"1.2";"1.1";"1.1";"1.1";"0";"1.1";"1";"0.9";"0.8";"0"
"1820";"2 ";"PV25   ";"2014JJ00";"1.1";"1.1";"1.1";"1.1";"0";"1.1";"1";"0.9";"0.8";"0"
"1821";"2 ";"PV25   ";"2015JJ00";"1.2";"1.2";"1.1";"1.1";"0";"1.2";"1";"1";"0.8";"0"
"1822";"2 ";"PV25   ";"2016JJ00";"1.2";"1.2";"1.1";"1.1";"0";"1.2";"1";"1";"0.8";"0"
"1823";"2 ";"PV25   ";"2017JJ00";"1.1";"1.1";"1.1";"1.1";"0";"1.1";"1";"0.9";"0.7";"0"
"1824";"2 ";"PV26   ";"2012JJ00";"2.2";"2.1";"2";"2.1";"0.1";"2.2";"1.5";"2.1";"1.5";"0"
"1825";"2 ";"PV26   ";"2013JJ00";"1.6";"1.5";"1.4";"1.5";"0";"1.6";"1.1";"1.4";"1";"0"
"1826";"2 ";"PV26   ";"2014JJ00";"1.5";"1.5";"1.4";"1.5";"0";"1.5";"1.1";"1.4";"1.1";"0"
"1827";"2 ";"PV26   ";"2015JJ00";"1.6";"1.6";"1.4";"1.5";"0";"1.6";"1.1";"1.4";"1.1";"0"
"1828";"2 ";"PV26   ";"2016JJ00";"1.5";"1.5";"1.4";"1.4";"0";"1.5";"1.1";"1.4";"1";"0"
"1829";"2 ";"PV26   ";"2017JJ00";"1.5";"1.5";"1.4";"1.3";"0";"1.5";"1";"1.3";"0.9";"0"
"1830";"2 ";"PV27   ";"2012JJ00";"1.1";"1.1";"1.1";"1";"0";"1.2";"0.7";"1.1";"0.7";"0"
"1831";"2 ";"PV27   ";"2013JJ00";"0.9";"0.9";"0.9";"0.9";"0";"0.9";"0.6";"0.9";"0.6";"0"
"1832";"2 ";"PV27   ";"2014JJ00";"1";"0.9";"1";"0.9";"0";"1";"0.6";"0.9";"0.7";"0"
"1833";"2 ";"PV27   ";"2015JJ00";"1";"0.9";"1";"0.9";"0";"1";"0.7";"0.9";"0.7";"0"
"1834";"2 ";"PV27   ";"2016JJ00";"0.9";"0.9";"0.9";"0.9";"0";"1";"0.6";"0.9";"0.7";"0"
"1835";"2 ";"PV27   ";"2017JJ00";"0.9";"0.8";"0.9";"0.8";"0";"0.9";"0.6";"0.9";"0.6";"0"
"1836";"2 ";"PV28   ";"2012JJ00";"1";"0.9";"1";"0.9";"0";"1";"0.7";"1";"0.7";"0"
"1837";"2 ";"PV28   ";"2013JJ00";"0.7";"0.7";"0.7";"0.7";"0";"0.7";"0.5";"0.7";"0.5";"0"
"1838";"2 ";"PV28   ";"2014JJ00";"0.8";"0.8";"0.8";"0.8";"0";"0.8";"0.6";"0.8";"0.6";"0"
"1839";"2 ";"PV28   ";"2015JJ00";"0.7";"0.7";"0.7";"0.7";"0";"0.7";"0.5";"0.7";"0.5";"0"
"1840";"2 ";"PV28   ";"2016JJ00";"0.8";"0.8";"0.8";"0.8";"0";"0.8";"0.6";"0.8";"0.6";"0"
"1841";"2 ";"PV28   ";"2017JJ00";"0.7";"0.7";"0.7";"0.6";"0";"0.7";"0.5";"0.7";"0.5";"0"
"1842";"2 ";"PV29   ";"2012JJ00";"2.2";"2";"2.2";"2.1";"0.1";"2.3";"2.2";"1.9";"1.4";"0"
"1843";"2 ";"PV29   ";"2013JJ00";"1.6";"1.5";"1.6";"1.5";"0";"1.6";"1.6";"1.4";"1";"0"
"1844";"2 ";"PV29   ";"2014JJ00";"2.7";"2.5";"2.7";"2.6";"0.1";"2.8";"2.6";"2.4";"1.8";"0.1"
"1845";"2 ";"PV29   ";"2015JJ00";"2.6";"2.2";"2.6";"2.4";"0.1";"2.6";"2.6";"2.2";"1.7";"0.1"
"1846";"2 ";"PV29   ";"2016JJ00";"2.8";"2.5";"2.7";"2.5";"0.1";"2.7";"2.7";"2.3";"1.6";"0.1"
"1847";"2 ";"PV29   ";"2017JJ00";"2";"1.8";"2.1";"1.8";"0.1";"2";"1.9";"1.8";"1.3";"0"
"1848";"2 ";"PV30   ";"2012JJ00";"1.3";"1.3";"1.2";"1.3";"0";"1.2";"1.2";"1.1";"0.9";"0"
"1849";"2 ";"PV30   ";"2013JJ00";"1.1";"1.1";"1";"1";"0";"1";"0.9";"0.9";"0.7";"0"
"1850";"2 ";"PV30   ";"2014JJ00";"1.1";"1.1";"1";"1.1";"0";"1.1";"1";"0.9";"0.8";"0"
"1851";"2 ";"PV30   ";"2015JJ00";"1.1";"1.1";"1";"1.1";"0";"1.1";"1";"0.9";"0.8";"0"
"1852";"2 ";"PV30   ";"2016JJ00";"1.1";"1.1";"1";"1";"0";"1.1";"1";"0.9";"0.8";"0"
"1853";"2 ";"PV30   ";"2017JJ00";"1";"1";"0.9";"0.9";"0";"1";"0.9";"0.9";"0.7";"0"
"1854";"2 ";"PV31   ";"2012JJ00";"1.6";"1.5";"1.4";"1.5";"0";"1.5";"1.6";"1.3";"1.1";"0"
"1855";"2 ";"PV31   ";"2013JJ00";"1.5";"1.5";"1.4";"1.5";"0";"1.5";"1.5";"1.3";"1.1";"0"
"1856";"2 ";"PV31   ";"2014JJ00";"1.6";"1.5";"1.4";"1.5";"0";"1.5";"1.6";"1.3";"1.1";"0"
"1857";"2 ";"PV31   ";"2015JJ00";"1.6";"1.5";"1.4";"1.5";"0";"1.5";"1.6";"1.2";"1.2";"0"
"1858";"2 ";"PV31   ";"2016JJ00";"1.5";"1.5";"1.4";"1.4";"0";"1.5";"1.5";"1.2";"1.1";"0"
"1859";"2 ";"PV31   ";"2017JJ00";"1.4";"1.4";"1.3";"1.4";"0";"1.4";"1.4";"1.2";"1.1";"0"
